Library,Description,Use Case,Example
pyarrow,Python bindings for Apache Arrow.,Columnar Data,Read/write Parquet and Arrow formats.
dask,Parallel computing with task scheduling.,Parallel Computing,Scale NumPy/Pandas to big data.
modin,Speed up Pandas using Ray or Dask.,Fast Pandas,Speed up pandas with multi-core processing.
vaex,Out-of-core DataFrames for large datasets.,Big DataFrames,Work with large datasets out-of-core.
sklearn-pandas,Bridge between pandas DataFrames and scikit-learn.,Feature Engineering,Use DataFrameMapper to apply transformations before training.
feature-engine,Feature engineering for ML pipelines.,Feature Selection/Engineering,"Handle missing data, encoding, discretization."
dtreeviz,Visualize decision trees.,Model Visualization,Plot scikit-learn decision tree with feature splits.
yellowbrick,Visual analysis and diagnostic tools for ML.,Model Visualization,"Plot classification reports, residuals, etc."
sweetviz,Automated EDA library.,EDA,Generate full HTML reports comparing datasets.
pdpbox,Partial dependence plots for ML models.,Model Interpretation,Visualize how a feature affects predictions.
skops,Portable and secure serialization for scikit-learn models.,Model Serialization,Export sklearn model safely for deployment.
flaml,Lightweight AutoML library.,AutoML,Train ML models with fast tuning and low computational cost.
deepchecks,Test ML models & data for issues.,Testing & Validation,Run suites to validate model behavior and data quality.
evidently,Monitor and analyze data/model drift.,Model Monitoring,Detect drift in model predictions over time.
pycaret,Low-code ML library for training and deployment.,AutoML,Build models with just a few lines of code.
creme,Online machine learning for streaming data.,Online Learning,Train models incrementally on data streams.
river,Successor to creme for online learning.,Streaming ML,Process and predict on real-time data one sample at a time.
snorkel,Weak supervision for labeling data.,Data Labeling,Create and apply labeling functions instead of manual labeling.
trulens,Evaluate LLMs and generative models.,LLM Evaluation,Track and debug hallucinations in GPT responses.
deepspeed,Deep learning optimization library by Microsoft.,Large Model Training,Train GPT-style models with less memory.
accelerate,Hugging Face training accelerator.,Multi-GPU Training,Simplify training across multiple GPUs/TPUs.
keras-tuner,Hyperparameter tuning for Keras models.,AutoML,"Tune number of layers, neurons, learning rate."
neuralprophet,Time-series forecasting based on Facebook Prophet + Neural Nets.,Time Series Forecasting,Forecast future sales or metrics.
orbit-ml,Bayesian time series forecasting library.,Probabilistic Forecasting,Forecast uncertainty-aware metrics.
skforecast,Time series forecasting with scikit-learn regressors.,Time Series,Use xgboost to predict future values.
autogluon,AutoML framework by AWS.,AutoML,Train tabular/NLP/CV models with a single call.
mediapipe,Framework by Google for CV tasks.,Pose/Face Detection,Detect hand gestures or face mesh in video streams.
